"","day","temp","crime_data_count"
"1",7,38.1,1
"2",1,25.5,0.45822454308094
"3",2,18.7,0.527415143603133
"4",3,30.7,0.52154046997389
"5",4,34.9,0.568537859007833
"6",5,46.2,0.595953002610966
"7",6,40.6,0.56266318537859
"8",7,32.6,0.522193211488251
"9",1,34.3,0.576370757180157
"10",2,39.6,0.586814621409922
"11",3,39.2,0.578328981723238
"12",4,33.8,0.486292428198433
"13",5,20.4,0.490861618798956
"14",6,17.7,0.509791122715405
"15",7,18.7,0.503916449086162
"16",1,34.9,0.539164490861619
"17",2,35.7,0.550913838120104
"18",3,18.5,0.516318537859008
"19",4,20.3,0.488250652741514
"20",5,9.9,0.447127937336815
"21",6,20.4,0.468015665796345
"22",7,23.5,0.445169712793734
"23",1,38.5,0.544386422976501
"24",2,31.1,0.586161879895561
"25",3,29.5,0.627937336814621
"26",4,34.2,0.60313315926893
"27",5,37.2,0.609007832898172
"28",6,32.4,0.527415143603133
"29",7,29.4,0.530678851174935
"30",1,31.9,0.566579634464752
"31",2,49.6,0.629242819843342
"32",3,43.7,0.679503916449086
"33",4,36.3,0.574412532637076
"34",5,35.6,0.585509138381201
"35",6,37.8,0.553524804177546
"36",7,36.3,0.485639686684073
"37",1,31.9,0.49934725848564
"38",2,31.9,0.560052219321149
"39",3,30.6,0.529373368146214
"40",4,27.8,0.5411227154047
"41",5,31.8,0.505874673629243
"42",6,14.6,0.464751958224543
"43",7,22,0.468668407310705
"44",1,26.8,0.475848563968668
"45",2,31.7,0.505874673629243
"46",3,37,0.605744125326371
"47",4,40.3,0.567232375979112
"48",5,37.4,0.643603133159269
"49",6,36.7,0.498041775456919
"50",7,31.8,0.512402088772846
"51",1,31.6,0.467362924281984
"52",2,38.1,0.554830287206266
"53",3,38.4,0.585509138381201
"54",4,36,0.533289817232376
"55",5,34.1,0.511749347258486
"56",6,25.2,0.516971279373368
"57",7,29.6,0.474543080939948
"58",1,36.9,0.533942558746736
"59",2,32.7,0.58289817232376
"60",3,47.6,0.571148825065274
"61",4,37.6,0.680156657963446
"62",5,38.1,0.575065274151436
"63",6,33.3,0.508485639686684
"64",7,30.2,0.494125326370757
"65",1,28.2,0.498694516971279
"66",2,43.8,0.612271540469974
"67",3,60.2,0.620104438642298
"68",4,50.1,0.601827676240209
"69",5,36,0.62532637075718
"70",6,38.4,0.581592689295039
"71",7,53.2,0.525456919060052
"72",1,59.2,0.595300261096606
"73",2,58,0.60443864229765
"74",3,62.6,0.607049608355091
"75",4,71.2,0.652741514360313
"76",5,60.4,0.62402088772846
"77",6,69.5,0.698433420365535
"78",7,69.5,0.599869451697128
"79",1,69.2,0.639033942558747
"80",2,74.3,0.647519582245431
"81",3,73.8,0.702349869451697
"82",4,71.2,0.639033942558747
"83",5,62.8,0.637075718015666
"84",6,56.2,0.590731070496084
"85",7,57.6,0.577676240208877
"86",1,43.2,0.54242819843342
"87",2,50.1,0.566579634464752
"88",3,63.8,0.594647519582245
"89",4,46.1,0.618798955613577
"90",5,45.4,0.614229765013055
"91",6,42.2,0.573107049608355
"92",7,49.2,0.652088772845953
"93",1,51.9,0.540469973890339
"94",2,57.7,0.576370757180157
"95",3,51.5,0.564621409921671
"96",4,45.6,0.575065274151436
"97",5,43.6,0.589425587467363
"98",6,49.5,0.635770234986945
"99",7,56.7,0.535248041775457
"100",1,54.3,0.599216710182768
"101",2,43,0.550913838120104
"102",3,41.8,0.600522193211488
"103",4,46.7,0.601827676240209
"104",5,53.7,0.612924281984334
"105",6,59,0.616187989556136
"106",7,67.3,0.637728459530026
"107",1,60,0.607702349869452
"108",2,48.5,0.62597911227154
"109",3,54.1,0.573759791122715
"110",4,58,0.627284595300261
"111",5,45.3,0.598563968668407
"112",6,44.5,0.571801566579634
"113",7,46.1,0.537859007832898
"114",1,48.6,0.610313315926893
"115",2,51.6,0.584856396866841
"116",3,55.2,0.621409921671018
"117",4,51.3,0.60378590078329
"118",5,44.2,0.627937336814621
"119",6,46.6,0.573107049608355
"120",7,48.7,0.524151436031332
"121",1,54.3,0.567232375979112
"122",2,57.8,0.694516971279373
"123",3,67.3,0.651436031331593
"124",4,75.6,0.640339425587467
"125",5,66.9,0.672976501305483
"126",6,56.6,0.620104438642298
"127",7,58.4,0.550261096605744
"128",1,60.3,0.635117493472585
"129",2,61.1,0.669060052219321
"130",3,56.9,0.637728459530026
"131",4,55.4,0.597911227154047
"132",5,61,0.651436031331593
"133",6,64.5,0.608355091383812
"134",7,61,0.534595300261097
"135",1,63.8,0.655352480417755
"136",2,71.3,0.678851174934726
"137",3,61.2,0.618146214099217
"138",4,59.7,0.622715404699739
"139",5,67.1,0.638381201044386
"140",6,75,0.607702349869452
"141",7,78.9,0.62402088772846
"142",1,65.1,0.578328981723238
"143",2,60.2,0.620104438642298
"144",3,64.2,0.699738903394256
"145",4,75.7,0.6677545691906
"146",5,76.1,0.706919060052219
"147",6,69.6,0.593994778067885
"148",7,79.2,0.60509138381201
"149",1,85.9,0.672323759791123
"150",2,78.1,0.714099216710183
"151",3,65,0.642950391644909
"152",4,51.4,0.5411227154047
"153",5,54.6,0.798955613577023
"154",6,61.2,0.616187989556136
"155",7,68.9,0.64686684073107
"156",1,70.2,0.639686684073107
"157",2,64.4,0.620104438642298
"158",3,64.8,0.668407310704961
"159",4,68.3,0.64686684073107
"160",5,72.9,0.727154046997389
"161",6,78.9,0.684725848563969
"162",7,80.3,0.657963446475196
"163",1,80.6,0.696475195822454
"164",2,73.7,0.710835509138381
"165",3,65.2,0.702349869451697
"166",4,70.5,0.639033942558747
"167",5,77.4,0.706266318537859
"168",6,81.5,0.693211488250653
"169",7,77.3,0.617493472584856
"170",1,81,0.697127937336815
"171",2,86,0.656005221932115
"172",3,86.1,0.716710182767624
"173",4,81.1,0.689295039164491
"174",5,76.4,0.731070496083551
"175",6,76.2,0.736292428198433
"176",7,78.9,0.703002610966057
"177",1,71.2,0.629895561357702
"178",2,70,0.62467362924282
"179",3,74.9,0.683420365535248
"180",4,87,0.612924281984334
"181",5,81.7,0.682114882506527
"182",6,79.3,0.659921671018277
"183",7,80.9,0.776762402088773
"184",1,83.8,0.689295039164491
"185",2,86.7,0.691906005221932
"186",3,89.8,0.682114882506527
"187",4,89.5,0.659268929503916
"188",5,92.3,0.670365535248042
"189",6,86.9,0.693864229765013
"190",7,77.2,0.713446475195822
"191",1,77.9,0.695169712793734
"192",2,76.5,0.68798955613577
"193",3,75.7,0.672323759791123
"194",4,79.8,0.678851174934726
"195",5,81.1,0.70757180156658
"196",6,77.8,0.68798955613577
"197",7,80.9,0.734334203655353
"198",1,85.2,0.64490861618799
"199",2,89.2,0.655352480417755
"200",3,83.9,0.637728459530026
"201",4,77,0.601174934725849
"202",5,74.7,0.699738903394256
"203",6,75.8,0.695169712793734
"204",7,79.4,0.642950391644909
"205",1,86.2,0.64490861618799
"206",2,80.6,0.631201044386423
"207",3,80.5,0.660574412532637
"208",4,83.3,0.637075718015666
"209",5,75.4,0.678851174934726
"210",6,74.4,0.681462140992167
"211",7,74.3,0.663838120104439
"212",1,80.1,0.652088772845953
"213",2,79.6,0.609007832898172
"214",3,77.7,0.722584856396867
"215",4,79.9,0.665143603133159
"216",5,82,0.692558746736292
"217",6,81.3,0.652741514360313
"218",7,74.7,0.627937336814621
"219",1,74.3,0.627937336814621
"220",2,77.3,0.621409921671018
"221",3,79.1,0.635770234986945
"222",4,72.4,0.610966057441253
"223",5,67.1,0.596605744125326
"224",6,67.1,0.648825065274151
"225",7,68.3,0.616187989556136
"226",1,66.4,0.566579634464752
"227",2,68,0.627284595300261
"228",3,73.9,0.693864229765013
"229",4,73,0.611618798955614
"230",5,67,0.628590078328982
"231",6,66.4,0.643603133159269
"232",7,69.1,0.613577023498694
